의원명,channel_id
강은미,UC2Fv4YFwzAQacbHVEMoZ4Mw
최강욱,UCxCIsoyPUWY_A_007CqdFXQ
김승수,UC-P15fmnNHOYk6_G8nRLm8Q
박성중,UCp4vAD3G7zi1w7aSANnsnaQ
서병수,UC0CN8JmxZP6WPZXhAFXgc2w
안규백,UChwmas8xf5M_wnuqN-miupQ
황운하,UCDFPB0rbbcRF8rgf4S1WTrQ
김성주,UCGpZu1C05xY8BJZiu7YmIRA
박범계,UCFugbLqHGuSDblyxm8bFV2w
정성호,UCqT1cTXIjV6eC_pzG-zDHHw
정청래,UCNRVHeIfz11ggS_JJvJFTnw
